"ID","Página","Seção","Onde aparece","Ação","Limite","Caracteres","Texto atual","TEXTO NOVO","Comentário"
"clinic-01","Em todas as páginas","Dados da clínica","Nome","Conferir","","27","Vyta Fisioterapia e Pilates","",""
"clinic-02","Em todas as páginas","Dados da clínica","Assinatura da marca","Conferir","","22","Fisioterapia & Pilates","",""
"layout-01","Em todas as páginas","Título padrão no Google","Descrição no Google (máx. 160 caracteres)","Reescrever","160","123","Fisioterapia oncológica, neurofuncional e ortopédica. Pilates em grupo. Duas unidades em São Paulo: Consolação e Pinheiros.","",""
"opengraph-image-01","Em todas as páginas","Imagem que aparece ao compartilhar o link","Texto","Reescrever","","4","Vyta","",""
"opengraph-image-02","Em todas as páginas","Imagem que aparece ao compartilhar o link","Texto","Reescrever","","22","Fisioterapia & Pilates","",""
"opengraph-image-03","Em todas as páginas","Imagem que aparece ao compartilhar o link","Texto","Reescrever","","34","Consolação · Pinheiros · São Paulo","",""
"logo-01","Em todas as páginas","Logo","Nome do botão para leitor de tela","Reescrever","","4","Vyta","",""
"sheet-01","Em todas as páginas","Menu no celular","Nome do botão para leitor de tela","Reescrever","","6","Fechar","",""
"home-01","Home","Título e descrição no Google","Título","Reescrever","","35","Fisioterapia e Pilates em São Paulo","",""
"home-02","Home","Título e descrição no Google","Descrição no Google (máx. 160 caracteres)","Reescrever","160","123","Fisioterapia oncológica, neurofuncional e ortopédica. Pilates em grupo. Duas unidades em São Paulo: Consolação e Pinheiros.","",""
"hero-01","Home","1. Abertura","Descrição da imagem (não aparece na tela)","Opcional","","92","Sala de Pilates da Vyta, com parede coral, cadillac, barril e reformer sobre piso de madeira","",""
"hero-02","Home","1. Abertura","Texto curto","Reescrever","","22","Fisioterapia & Pilates","",""
"hero-03","Home","1. Abertura","Título principal da página (H1)","Reescrever","","38","Cuidar do movimento é *cuidar da vida*","",""
"hero-04","Home","1. Abertura","Parágrafo","Reescrever","","180","Aqui toda sessão é conduzida por fisioterapeutas, inclusive as de Pilates. Avaliação e atendimento personalizados para as suas demandas e alguém acompanhando sua evolução de perto.","",""
"hero-05","Home","1. Abertura","Botão","Reescrever","30","19","Agendar no WhatsApp","",""
"hero-06","Home","1. Abertura","Botão","Reescrever","30","13","Como funciona","",""
"manifesto-01","Home","2. Os três números","Parágrafo","Reescrever","","112","Atendimento exclusivo, só você e o fisioterapeuta do começo ao fim. Sem sala cheia e específico para sua queixa.","",""
"manifesto-02","Home","2. Os três números","Número em destaque","Reescrever","10","9","Segurança","",""
"manifesto-03","Home","2. Os três números","Parágrafo","Reescrever","","131","Toda aula de Pilates é conduzida por fisioterapeutas. Quem entende de lesão orientando cada exercício, cada carga, cada respiração.","",""
"manifesto-04","Home","2. Os três números","Número em destaque","Reescrever","10","11","A domicílio","",""
"manifesto-05","Home","2. Os três números","Parágrafo","Reescrever","","121","Atendimento de fisioterapia na sua casa, quando ir até a clínica não é uma opção. Conforto com o mesmo cuidado e atenção.","",""
"como-funciona-01","Home","3. Como funciona","Título","Reescrever","","16","Primeiro contato","",""
"como-funciona-02","Home","3. Como funciona","Parágrafo","Reescrever","","121","Você conta o que está sentindo pelo WhatsApp. Nós indicamos a fisioterapeuta certa e a unidade compatível com o seu caso.","",""
"como-funciona-03","Home","3. Como funciona","Título","Reescrever","","9","Avaliação","",""
"como-funciona-04","Home","3. Como funciona","Parágrafo","Reescrever","","149","Uma sessão inteira para escutar, examinar e testar. O tratamento já começa neste dia, e você sai com um plano definido e *exclusivo para o seu caso*.","",""
"como-funciona-05","Home","3. Como funciona","Título","Reescrever","","10","Tratamento","",""
"como-funciona-06","Home","3. Como funciona","Parágrafo","Reescrever","","144","Sessões individuais, sempre com a mesma fisioterapeuta. Reavaliações que acontecem ao longo do processo e ajustes do plano conforme você evolui.","",""
"como-funciona-07","Home","3. Como funciona","Título","Reescrever","","12","Continuidade","",""
"como-funciona-08","Home","3. Como funciona","Parágrafo","Reescrever","","119","A alta não é fim de linha. Seguir no pilates *com quem já conhece sua história clínica* é para manter o que conquistou.","",""
"como-funciona-09","Home","3. Como funciona","Etiqueta acima do título","Reescrever","28","13","Como funciona","",""
"como-funciona-10","Home","3. Como funciona","Título","Reescrever","","70","Quatro passos entre a primeira mensagem e *voltar a se mover sem medo*","",""
"especialidades-grid-01","Home","4. Grade de especialidades (repete na página Especialidades)","Etiqueta acima do título","Reescrever","28","16","Áreas de atuação","",""
"especialidades-grid-02","Home","4. Grade de especialidades (repete na página Especialidades)","Título","Reescrever","","36","Sete frentes, uma forma de trabalhar","",""
"especialidades-grid-03","Home","4. Grade de especialidades (repete na página Especialidades)","Parágrafo","Reescrever","","165","Cada caso exige técnica própria, mas todos partem do mesmo lugar: escuta ativa, plano de tratamento individualizado e humanizado. Tratamos pessoas, não diagnósticos.","",""
"especialidades-grid-04","Home","4. Grade de especialidades (repete na página Especialidades)","Descrição da imagem (não aparece na tela)","Opcional","","150","Estúdio de Pilates da Vyta na unidade Consolação, com os aparelhos de pilates sendo eles reformer, cadillac e chair, com parede de fundo na cor coral.","",""
"especialidades-grid-05","Home","4. Grade de especialidades (repete na página Especialidades)","Subtítulo (H3)","Reescrever","","7","Pilates","",""
"especialidades-grid-06","Home","4. Grade de especialidades (repete na página Especialidades)","Parágrafo","Reescrever","","84","Força, mobilidade e respiração. Sempre conduzido por um fisioterapeuta. Ver a sala →","",""
"pilates-section-01","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Item de lista","Reescrever","","64","Grupos reduzidos, aparelhos completos, metodologia contemporânea","",""
"pilates-section-02","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Item de lista","Reescrever","","82","Avaliação dinâmica a cada aula, adaptando os exercícios às suas necessidades reais","",""
"pilates-section-03","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Item de lista","Reescrever","","78","Transição natural para quem sai da reabilitação, mantendo um olhar terapêutico","",""
"pilates-section-04","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Texto","Reescrever","","7","Pilates","",""
"pilates-section-05","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Título de seção (H2)","Reescrever","","45","Todas as aulas com *fisioterapeutas*. Sempre.","",""
"pilates-section-06","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Parágrafo","Reescrever","","88","Quem corrige a sua postura conhece a sua lesão e entende por que aquele ombro ainda dói.","",""
"pilates-section-07","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Parágrafo","Reescrever","","123","Fortalecimento, alinhamento, mobilidade e consciência corporal. Tudo dosado para demanda de cada aluno de forma individual.","",""
"pilates-section-08","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Botão","Reescrever","30","25","Agendar aula experimental","",""
"pilates-section-09","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Link ou botão","Reescrever","","18","Conhecer o Pilates","",""
"pilates-section-10","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Descrição da imagem (não aparece na tela)","Opcional","","137","Corredor do estúdio de Pilates da Vyta em Pinheiros, com fileira de espelhos arqueados iluminados refletindo reformers e outros aparelhos","",""
"pilates-section-11","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Descrição da imagem (não aparece na tela)","Opcional","","104","Espelhos arqueados iluminados do estúdio de Pilates da Vyta em Pinheiros, refletindo cadillac e reformer","",""
"pilates-section-12","Home","5. Bloco escuro de Pilates (repete na página Pilates)","Descrição da imagem (não aparece na tela)","Opcional","","121","Fileira de aparelhos de Pilates da unidade Consolação da Vyta, com reformer, cadillac e escada sueca junto à parede coral","",""
"founders-01","Home","6. Quem somos","Etiqueta acima do título","Reescrever","28","10","Quem somos","",""
"founders-02","Home","6. Quem somos","Título","Reescrever","","74","Duas fisioterapeutas que *atendem* e acompanham do primeiro contato à alta","",""
"founders-03","Home","6. Quem somos","Texto de apoio abaixo do título","Reescrever","","179","A Vyta nasceu de uma amizade formada na graduação e do mesmo incômodo: reabilitação boa não cabe em trinta minutos. Aqui, quem fundou a clínica é quem senta com você na avaliação.","",""
"pull-quote-01","Home","7. Citação das fundadoras","Parágrafo","Reescrever","","159","“Uma sessão de fisioterapia leva o tempo que precisa levar. Por isso o atendimento é particular: assim conseguimos dedicar *uma hora inteira* a cada paciente.”","",""
"pull-quote-02","Home","7. Citação das fundadoras","Texto","Reescrever","","27","Vyvyan & Tainá · fundadoras","",""
"blog-teasers-01","Home","8. Conteúdo","Etiqueta acima do título","Reescrever","28","8","Conteúdo","",""
"blog-teasers-02","Home","8. Conteúdo","Título","Reescrever","","38","O que a gente escreve entre as sessões","",""
"blog-teasers-03","Home","8. Conteúdo","Link ou botão","Reescrever","","21","Ver todos os textos →","",""
"unidades-section-01","Home","9. Unidades (repete na página Unidades)","Etiqueta acima do título","Reescrever","28","8","Unidades","",""
"unidades-section-02","Home","9. Unidades (repete na página Unidades)","Título","Reescrever","","22","Consolação e Pinheiros","",""
"unidades-section-03","Home","9. Unidades (repete na página Unidades)","Link ou botão","Reescrever","","15","Ver a unidade →","",""
"contact-cta-01","Home","10. Chamada final","Descrição da imagem (não aparece na tela)","Opcional","","103","Sala de fisioterapia da Vyta em Pinheiros, com maca de atendimento, espaldar e espelho de corpo inteiro","",""
"contact-cta-02","Home","10. Chamada final","Título de seção (H2)","Reescrever","","43","Conta pra gente o que está *te incomodando*","",""
"contact-cta-03","Home","10. Chamada final","Parágrafo","Reescrever","","152","Basta contar o que está sentindo. A gente responde qual fisioterapeuta é a mais indicada, qual unidade fica melhor para você e quando você pode começar.","",""
"contact-cta-04","Home","10. Chamada final","Botão","Reescrever","30","17","Falar no WhatsApp","",""
"team-01","Home","Fisioterapeutas (o nome também assina os guias)","Nome","Conferir","","21","Vyvyan Maximo Andrade","",""
"team-02","Home","Fisioterapeutas (o nome também assina os guias)","Especialidade","Conferir","","14","Neurofuncional","",""
"team-03","Home","Fisioterapeutas (o nome também assina os guias)","Registro no Crefito","Conferir","","18","Crefito 3: 293919F","",""
"team-04","Home","Fisioterapeutas (o nome também assina os guias)","Minibiografia","Conferir","","131","Trabalha com quem precisa reaprender um movimento depois de um AVC, de uma cirurgia de coluna, de um diagnóstico que mudou o passo.","",""
"team-05","Home","Fisioterapeutas (o nome também assina os guias)","Formação (item da lista)","Conferir","","61","Graduada em Fisioterapia pela Universidade de São Paulo (USP)","",""
"team-06","Home","Fisioterapeutas (o nome também assina os guias)","Formação (item da lista)","Conferir","","74","Residência em Neurologia e Neurocirurgia pelo Hospital São Paulo (Unifesp)","",""
"team-07","Home","Fisioterapeutas (o nome também assina os guias)","Nome","Conferir","","21","Tainá Horacio Peixoto","",""
"team-08","Home","Fisioterapeutas (o nome também assina os guias)","Especialidade","Conferir","","10","Oncológica","",""
"team-09","Home","Fisioterapeutas (o nome também assina os guias)","Registro no Crefito","Conferir","","18","Crefito 3: 293916F","",""
"team-10","Home","Fisioterapeutas (o nome também assina os guias)","Minibiografia","Conferir","","138","Acompanha pacientes durante e depois do tratamento oncológico, quando o movimento ajuda a reduzir efeitos colaterais e a manter autonomia.","",""
"team-11","Home","Fisioterapeutas (o nome também assina os guias)","Formação (item da lista)","Conferir","","61","Graduada em Fisioterapia pela Universidade de São Paulo (USP)","",""
"team-12","Home","Fisioterapeutas (o nome também assina os guias)","Formação (item da lista)","Conferir","","62","Residência em Oncologia pelo Hospital AC Camargo Cancer Center","",""
"especialidades-01","Especialidades","Página de lista","Título","Reescrever","","16","Áreas de atuação","",""
"especialidades-02","Especialidades","Página de lista","Descrição no Google (máx. 160 caracteres)","Reescrever","160","151","Seis áreas de atuação em fisioterapia e Pilates em São Paulo: neurofuncional, oncológica, ortopédica, gerontologia, respiratória e pré e pós-cirúrgica.","",""
"especialidades-03","Especialidades","Página de lista","Nome","Conferir","","6","Início","",""
"especialidades-04","Especialidades","Página de lista","Nome","Conferir","","16","Áreas de atuação","",""
"especialidades-05","Especialidades","Página de lista","Etiqueta acima do título","Reescrever","28","16","Áreas de atuação","",""
"especialidades-06","Especialidades","Página de lista","Título","Reescrever","","14","O que tratamos","",""
"especialidades-07","Especialidades","Página de lista","Texto de apoio abaixo do título","Reescrever","","129","Cada área tem técnica própria, mas todas partem do mesmo lugar: avaliar antes de tratar, e tratar uma pessoa. Não um diagnóstico.","",""
"especialidades-slug-01","Especialidades","Moldura da página de cada especialidade","Nome","Conferir","","6","Início","",""
"especialidades-slug-02","Especialidades","Moldura da página de cada especialidade","Nome","Conferir","","16","Áreas de atuação","",""
"especialidades-slug-03","Especialidades","Moldura da página de cada especialidade","Nome do botão para leitor de tela","Reescrever","","6","Trilha","",""
"especialidades-slug-04","Especialidades","Moldura da página de cada especialidade","Link ou botão","Reescrever","","6","Início","",""
"especialidades-slug-05","Especialidades","Moldura da página de cada especialidade","Link ou botão","Reescrever","","16","Áreas de atuação","",""
"especialidades-slug-06","Especialidades","Moldura da página de cada especialidade","Texto","Reescrever","","16","Áreas de atuação","",""
"especialidades-slug-07","Especialidades","Moldura da página de cada especialidade","Botão","Reescrever","30","17","Agendar avaliação","",""
"especialidades-slug-08","Especialidades","Moldura da página de cada especialidade","Título de seção (H2)","Reescrever","","18","Para quem funciona","",""
"especialidades-slug-09","Especialidades","Moldura da página de cada especialidade","Título de seção (H2)","Reescrever","","13","Como funciona","",""
"especialidades-slug-10","Especialidades","Moldura da página de cada especialidade","Título de seção (H2)","Reescrever","","20","Perguntas frequentes","",""
"especialidades-slug-11","Especialidades","Moldura da página de cada especialidade","Título de seção (H2)","Reescrever","","26","Para ler antes da consulta","",""
"especialidades-slug-12","Especialidades","Moldura da página de cada especialidade","Título de seção (H2)","Reescrever","","14","Onde atendemos","",""
"especialidades-slug-13","Especialidades","Moldura da página de cada especialidade","Botão","Reescrever","30","17","Agendar avaliação","",""
"specialities-01","Especialidades","Texto de cada especialidade","Título","Conferir","","27","Fisioterapia Neurofuncional","",""
"specialities-02","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","14","Neurofuncional","",""
"specialities-03","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","152","Fisioterapia neurofuncional na Consolação e em Pinheiros. Reabilitação após AVC, lesão medular, Parkinson e cirurgias neurológicas. Também em domicílio.","",""
"specialities-04","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","134","Recuperar marcha, equilíbrio e independência nas atividades do dia a dia, após AVC, lesão medular, Parkinson e cirurgias neurológicas.","",""
"specialities-05","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","175","Depois de um AVC, uma lesão medular ou com o Parkinson, a rotina muda. Nosso trabalho é devolver movimento, equilíbrio e independência, com objetivos definidos junto com você.","",""
"specialities-06","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","129","Pacientes com lesões neurológicas: após AVC, lesão medular, esclerose múltipla, paralisia cerebral, lesões cerebrais traumáticas.","",""
"specialities-07","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","80","Pacientes com distúrbios de movimento: doença de Parkinson, distonias e ataxias.","",""
"specialities-08","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","62","Pacientes pós operatório: após cirurgias de coluna e cerebral.","",""
"specialities-09","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","163","Adultos e idosos com comprometimento neuromuscular: podem apresentar sintomas como dor ou formigamento nos membros ou na face, fraqueza muscular, fadiga e cãibras.","",""
"specialities-10","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","252","Você começa por uma avaliação detalhada da sua queixa. Definimos juntos onde queremos chegar e montamos um plano com técnicas e exercícios escolhidos especificamente para o seu caso. Ao longo do tratamento, reavaliamos e ajustamos conforme você evolui.","",""
"specialities-11","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","48","Quanto tempo dura a reabilitação neurofuncional?","",""
"specialities-12","Especialidades","Texto de cada especialidade","Resposta","Conferir","","236","Depende do quadro e do objetivo definido na avaliação inicial. Cada caso tem um ritmo, e por isso reavaliamos ao longo do tratamento e ajustamos o plano conforme a evolução. Na primeira sessão conversamos sobre o que é realista esperar.","",""
"specialities-13","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","43","Quais condições neurológicas são atendidas?","",""
"specialities-14","Especialidades","Texto de cada especialidade","Resposta","Conferir","","145","AVC, lesão medular, esclerose múltipla, paralisia cerebral, lesões cerebrais traumáticas, doença de Parkinson, distonias e ataxias, entre outras.","",""
"specialities-15","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","27","As sessões são individuais?","",""
"specialities-16","Especialidades","Texto de cada especialidade","Resposta","Conferir","","134","Sim. Todo atendimento é individual, do começo ao fim, sempre com a mesma fisioterapeuta. Você não divide o horário com outro paciente.","",""
"specialities-17","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","23","Distúrbios neurológicos","",""
"specialities-18","Especialidades","Texto de cada especialidade","Título","Conferir","","23","Fisioterapia Oncológica","",""
"specialities-19","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","10","Oncológica","",""
"specialities-20","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","154","Fisioterapia oncológica na Consolação e em Pinheiros. Cuidado com linfedema, mobilidade de ombro, fadiga e força durante e depois do tratamento do câncer.","",""
"specialities-21","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","104","Reabilitação durante e depois do tratamento oncológico: mobilidade, linfedema, fadiga e condicionamento.","",""
"specialities-22","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","238","Acompanhamos pacientes em todas as fases do tratamento oncológico. Antes, para preparar o corpo. Durante, para manejo dos efeitos colaterais do tratamento como fadiga, dor e linfedema. Depois, para recuperar mobilidade, força e autonomia.","",""
"specialities-23","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","272","Pacientes em tratamento de câncer: que estão passando por quimioterapia, radioterapia, cirurgia ou terapia-alvo. Esses tratamentos podem causar efeitos colaterais que afetam a função física, como fadiga, fraqueza muscular, dor, rigidez articular e problemas de equilíbrio.","",""
"specialities-24","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","95","Pacientes com linfedema: linfedema em perna ou braço, após tratamentos ginecológicos e de mama.","",""
"specialities-25","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","173","Pacientes em recuperação pós-cirúrgica: O procedimento cirúrgico pode resultar em restrições de movimento, retração cicatricial, perda de força muscular e aumento da fadiga.","",""
"specialities-26","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","119","Pacientes com dor crônica relacionada ao câncer: devido à progressão da doença ou aos efeitos colaterais do tratamento.","",""
"specialities-27","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","160","Pacientes pós tratamento oncológico: que podem passar por fadiga persistente, fraqueza muscular, dificuldades de equilíbrio e alterações na composição corporal.","",""
"specialities-28","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","318","Começamos por uma avaliação que considera a fase do tratamento, os procedimentos já realizados e os sintomas presentes. O plano é individualizado e reavaliado ao longo do percurso, porque a conduta muda conforme o tratamento avança, o que funciona durante a quimioterapia não é o mesmo que funciona depois da cirurgia.","",""
"specialities-29","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","81","A fisioterapia oncológica pode ser feita durante a quimioterapia ou radioterapia?","",""
"specialities-30","Especialidades","Texto de cada especialidade","Resposta","Conferir","","339","Sim, e é recomendável que seja feito nessa fase. A fisioterapia oncológica atende pacientes em todas as fases do tratamento contra o câncer, incluindo quimioterapia, radioterapia, cirurgia ou terapia-alvo, com foco na prevenção e alívio de efeitos colaterais como fadiga, fraqueza muscular, dor, rigidez articular e questões de equilíbrio.","",""
"specialities-31","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","42","A fisioterapia oncológica trata linfedema?","",""
"specialities-32","Especialidades","Texto de cada especialidade","Resposta","Conferir","","195","Sim. Atendemos linfedema de braço e de perna após tratamentos de mama e ginecológicos, com drenagem, exercícios e orientação de cuidados para o dia a dia. Quanto antes começar, melhor o controle.","",""
"specialities-33","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","20","Como são as sessões?","",""
"specialities-34","Especialidades","Texto de cada especialidade","Resposta","Conferir","","192","Individuais e conduzidas pela mesma fisioterapeuta do início ao fim. Cada sessão é ajustada ao seu momento no tratamento, respeitando fadiga, contagem sanguínea e como você chegou naquele dia.","",""
"specialities-35","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","6","Câncer","",""
"specialities-36","Especialidades","Texto de cada especialidade","Título","Conferir","","23","Fisioterapia Ortopédica","",""
"specialities-37","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","10","Ortopédica","",""
"specialities-38","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","157","Fisioterapia ortopédica na Consolação e em Pinheiros: dor na coluna, ombro e joelho, reabilitação pós-operatória e lesões esportivas. Atendimento individual.","",""
"specialities-39","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","100","Prevenir, tratar e reabilitar, de uma entorse ao pós-operatório, até você voltar ao que fazia antes.","",""
"specialities-40","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","173","De uma entorse a uma prótese de joelho. Tratamos dor, lesão e limitação de movimento em músculos, ossos, tendões e articulações, na fase aguda ou na recuperação de cirurgia.","",""
"specialities-41","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","130","Pacientes com lesões musculoesqueléticas: como entorses, distensões musculares, tendinites, fraturas ósseas e lesões ligamentares.","",""
"specialities-42","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","112","Pessoas com dor crônica ou aguda nas articulações: como artrite/osteoartrite, bursite, epicondilite e tendinite.","",""
"specialities-43","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","182","Pacientes em processo de reabilitação pós-cirúrgica: cirurgias ortopédicas como a substituição total do joelho ou do quadril, reparo de ligamentos ou tendões, ou fixação de fraturas.","",""
"specialities-44","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","103","Atletas com lesões esportivas: como entorses, contusões, distensões musculares e lesões nos ligamentos.","",""
"specialities-45","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","143","Indivíduos com desordens posturais: como cifose, lordose ou escoliose. Podem apresentar dores nas costas, restrições de movimento e má postura.","",""
"specialities-46","Especialidades","Texto de cada especialidade","Como é o tratamento","Conferir","","252","Primeiro, uma avaliação que testa movimento, força e função para entender de onde vem a dor. Depois, um plano com técnicas manuais e exercícios progressivos, ajustado conforme você evolui. O foco é na recuperação e na prevenção de futuras complicações.","",""
"specialities-47","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","45","Quais lesões a fisioterapia ortopédica trata?","",""
"specialities-48","Especialidades","Texto de cada especialidade","Resposta","Conferir","","179","Entorses, distensões musculares, tendinites, fraturas ósseas e lesões ligamentares, além de dor crônica ou aguda em articulações como artrite/osteoartrite, bursite e epicondilite.","",""
"specialities-49","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","45","Atende reabilitação após cirurgia ortopédica?","",""
"specialities-50","Especialidades","Texto de cada especialidade","Resposta","Conferir","","217","Sim, inclusive após cirurgias como prótese de joelho ou quadril, reparo de ligamentos ou tendões e fixação de fraturas. Também atendemos no pré-operatório: chegar mais forte à cirurgia costuma facilitar a recuperação.","",""
"specialities-51","Especialidades","Texto de cada especialidade","Pergunta","Conferir","","37","Atende atletas com lesões esportivas?","",""
"specialities-52","Especialidades","Texto de cada especialidade","Resposta","Conferir","","194","Sim. Entorses, contusões, distensões e lesões ligamentares, do atleta de competição a quem corre no fim de semana ou treina na academia. O tratamento acompanha até o retorno seguro à modalidade.","",""
"specialities-53","Especialidades","Texto de cada especialidade","Nome da condição (usado pelo Google, não aparece na tela)","Opcional","","26","Lesões musculoesqueléticas","",""
"specialities-54","Especialidades","Texto de cada especialidade","Título","Conferir","","28","Fisioterapia em Gerontologia","",""
"specialities-55","Especialidades","Texto de cada especialidade","Título curto do card","Conferir","24","12","Gerontologia","",""
"specialities-56","Especialidades","Texto de cada especialidade","Descrição no Google (máx. 160 caracteres)","Conferir","160","137","Fisioterapia para idosos na Consolação e em Pinheiros: prevenção de quedas, equilíbrio e recuperação após internação. Também a domicílio.","",""
"specialities-57","Especialidades","Texto de cada especialidade","Texto do card","Conferir","","112","Prevenir quedas, recuperar equilíbrio e força, e devolver autonomia depois de internações e períodos de repouso.","",""
"specialities-58","Especialidades","Texto de cada especialidade","Parágrafo de abertura","Conferir","","164","A fisioterapia em gerontologia cuida da saúde, independência e qualidade de vida da pessoa idosa, com trabalho de equilíbrio, força muscular e mobilidade articular.","",""
"specialities-59","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","46","Idosos com histórico de desequilíbrio e queda.","",""
"specialities-60","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","127","Pacientes com doenças crônicas relacionadas à idade: como osteoartrite, osteoporose, doenças cardíacas e doenças respiratórias.","",""
"specialities-61","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","199","Idosos em processo de reabilitação pós-hospitalar: esses pacientes podem apresentar fraqueza muscular, perda de mobilidade e limitações funcionais devido a doenças agudas ou procedimentos cirúrgicos.","",""
"specialities-62","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","55","Pessoas com demência, doença de Alzheimer ou Parkinson.","",""
"specialities-63","Especialidades","Texto de cada especialidade","Para quem é (item da lista)","Conferir","","124","Idosos que desejam manter um estilo de vida ativo e saudável: prevenindo futuras complicações secundárias ao envelhecimento.","",""
